STARLINK-4711           
Time(t),Position x(r_x),y(r_y),z(r_z),Velocity x(v_x),y(v_y),z(v_z)
2459905.648759871,824.8181704758484,6420.370410464181,-2123.6390564050616,-5.015347624986261,-1.2177305435161156,-5.64662130339004
2459905.6494550104,521.9504196625657,6332.688947461966,-2457.672975875773,-5.066382708547815,-1.7009826326885835,-5.472528798782852
2459905.65015015,216.70904730876114,6216.210304565052,-2780.4992611997204,-5.094364154587058,-2.1763187389990355,-5.273550092842792
2459905.6508452897,-89.51752345072418,6071.475004784949,-3090.6505709031785,-5.099182146729256,-2.6415791940807445,-5.05061340210465
2459905.6515404293,-395.33746284257495,5899.151802842338,-3386.7185735369662,-5.080832939093779,-3.0946550934053447,-4.804754685762525
2459905.652235569,-699.361889686161,5700.034349221187,-3667.3602580728716,-5.039418264891645,-3.53349777204208,-4.537112218777229
2459905.6529307086,-1000.2111758765016,5475.037298232503,-3931.303905772976,-4.975144243787917,-3.956127836875539,-4.248920754848714
2459905.6536258482,-1296.5211708477038,5225.191887801985,-4177.354700421846,-4.888319815927326,-4.360643721530036,-3.9415053308914167
2459905.654320988,-1586.9493184939838,4951.641020478381,-4404.399956887028,-4.779354732934068,-4.745229738651918,-3.616274763557281
2459905.655016127,-1870.1804538594633,4655.634081957619,-4611.413819205808,-4.648757232179378,-5.108163376752243,-3.2747151200688758
2459905.6557112667,-2144.933384156048,4338.52030928964,-4797.462218817917,-4.497130872632953,-5.447823260873254,-2.9183818142911666
2459905.6564064063,-2409.9653971071925,4001.743754157013,-4961.70603389731,-4.325171912958968,-5.762694161678389,-2.5488938302687703
2459905.657101546,-2664.0784749973695,3646.8359035092376,-5103.405216732798,-4.133665510393154,-6.051373922380312,-2.1679255292360393
2459905.6577966856,-2906.1243346933097,3275.4089295443773,-5221.921765694283,-3.9234820457470705,-6.312578622530303,-1.7771994806523228
2459905.658491825,-3135.0094263290675,2889.148439301814,-5316.722396229211,-3.69557310300326,-6.545147477713635,-1.3784789914707711
2459905.659186965,-3349.6996831240585,2489.8059453509486,-5387.380761421022,-3.450967205492991,-6.748047235894356,-0.9735605789200904
2459905.6598821045,-3549.2250082945548,2079.1910874303176,-5433.579219305242,-3.190765326841122,-6.920376082088297,-0.5642664039953612
2459905.660577244,-3732.6834859968253,1659.1636342172123,-5455.1101450408105,-2.9161361913183237,-7.0613670621491424,-0.15243667885230786
2459905.6612723833,-3899.2451983058145,1231.6255822134817,-5451.876797182027,-2.6283115717150674,-7.170390972251004,0.2600776659134695
2459905.661967523,-4048.156283016797,798.511652106853,-5423.893691091308,-2.328580418767885,-7.246959114947362,0.6714237048561672
2459905.6626626626,-4178.741574981365,361.7825209152639,-5371.286553241134,-2.0182847431329356,-7.2907248815624985,1.0797524781450947
2459905.663357802,-4290.40805362741,-76.5849157379726,-5294.291813033382,-1.698813393571284,-7.301485620753858,1.483227715229009
2459905.664052942,-4382.647381796216,-514.6059346382473,-5193.255623399053,-1.3715966069587555,-7.279183636058352,1.8800331665967054
2459905.6647480815,-4455.0382179987855,-950.29671074483,-5068.632431155072,-1.0381001916477373,-7.22390678278141,2.2683801943756503
2459905.665443221,-4507.248174147503,-1381.6830641841618,-4920.9830922638175,-0.6998195350277828,-7.135888565022584,2.6465153347224524
2459905.6661383607,-4539.035408282443,-1806.809197891804,-4750.972534027769,-0.3582734390574793,-7.015507713791402,3.0127278176381793
2459905.6668335004,-4550.249842100719,-2223.746394099704,-4559.366967233331,-0.01499778977163605,-6.863287224346084,3.365357025644163
2459905.6675286395,-4540.834006751379,-2630.601367708853,-4347.030801497122,0.328460700381219,-6.679892962203181,3.7027996474139173
2459905.668223779,-4510.82344226814,-3025.5258629909426,-4114.9223887086,0.6705520447481763,-6.46613103483718,4.023517833457989
2459905.668918919,-4460.346771717153,-3406.7233843814574,-3864.090771651798,1.0097283590927024,-6.222945801408118,4.326044953785524
2459905.6696140585,-4389.625316767519,-3772.458480121517,-3595.6706001005005,1.344451646839225,-5.951416039599323,4.608993444777012
2459905.670309198,-4298.972309178637,-4121.064429976025,-3310.877328090811,1.6732005111962125,-5.652751044118537,4.871061282361616
2459905.6710043377,-4188.791684203658,-4450.950948028376,-3011.0018808293485,1.994477144244441,-5.32828594754327,5.111038413365972
2459905.6716994774,-4059.5764535539442,-4760.611584144724,-2697.404944572891,2.3068143263588423,-4.979476368839657,5.32781286447713
2459905.672394617,-3911.906658508054,-5048.6307836295855,-2371.5109004497285,2.6087823951545297,-4.607892389553522,5.520376477700304
